Date,PriceGas,PriceElec,PriceWater,PriceTotal
01-Jan-12,55.51,22.14,2.96,80.61
08-Jan-12,57.22,23.67,3.3,84.19
15-Jan-12,62.07,23.29,3.26,88.62
22-Jan-12,56.59,23.67,3.02,83.28
29-Jan-12,63.63,23.86,3.12,90.61
05-Feb-12,83.32,24.43,4.61,112.36
12-Feb-12,83.8,25.39,5.03,114.22
19-Feb-12,59.13,23.29,5.62,88.04
26-Feb-12,54.13,21,5.4,80.53
04-Mar-12,40.49,21.38,3.66,65.53
11-Mar-12,51.65,20.81,4.61,77.07
18-Mar-12,28.61,20.04,3.42,52.07
25-Mar-12,26.83,17.75,3.9,48.48
01-Apr-12,23.37,13.93,3.93,41.23
08-Apr-12,36.04,15.27,3.12,54.43
15-Apr-12,40.95,12.41,2.8,56.16
22-Apr-12,44.78,16.42,4.86,66.06
29-Apr-12,31.01,17.37,5.56,53.94
06-May-12,27.34,17.94,5.94,51.22
13-May-12,19.19,16.8,5.54,41.53
20-May-12,17.12,14.51,3.59,35.22
27-May-12,6.33,12.22,3.98,22.53
03-Jun-12,8.42,17.56,4.58,30.56
10-Jun-12,21.32,16.22,5.26,42.8
17-Jun-12,16.45,17.94,5.97,40.36
24-Jun-12,8.34,16.61,3.29,28.24
01-Jul-12,3.76,18.52,5.66,27.94
08-Jul-12,4.27,15.46,5.69,25.42
15-Jul-12,0.46,10.31,0.62,11.39
22-Jul-12,1.47,9.73,0.48,11.68
29-Jul-12,1.94,8.78,1.26,11.98
05-Aug-12,4.09,13.74,3.67,21.5
12-Aug-12,3.47,14.32,4.87,22.66
19-Aug-12,3.9,11.64,5.7,21.24
26-Aug-12,2,8.21,1.98,12.19
02-Sep-12,2,8.02,1.98,12
09-Sep-12,4,12.79,4.72,21.51
16-Sep-12,7.56,17.18,5.41,30.15
23-Sep-12,14.06,20.81,5.14,40.01
30-Sep-12,19.62,17.56,4.74,41.92
07-Oct-12,16.04,18.13,4.52,38.69
14-Oct-12,31.15,17.18,4.21,52.54
21-Oct-12,18.78,16.22,3.98,38.98
28-Oct-12,24.51,19.85,4.8,49.16
04-Nov-12,29.39,17.18,3.7,50.27
11-Nov-12,43.45,20.62,4.18,68.25
18-Nov-12,41.19,21.19,4.49,66.87
25-Nov-12,43.89,19.28,4,67.17
02-Dec-12,52.71,21.57,5.32,79.6
09-Dec-12,68.37,24.05,5.55,97.97
16-Dec-12,69.8,22.71,5.35,97.86
23-Dec-12,47.72,23.29,5.7,76.71
30-Dec-12,45.02,21.19,4.13,70.34
06-Jan-13,38.95,23.1,5.04,67.09
13-Jan-13,57.75,22.91,5.33,85.99
20-Jan-13,83.27,25.39,5.26,113.92
27-Jan-13,74.45,23.1,4.66,102.21
03-Feb-13,48.31,21.95,4.26,74.52
10-Feb-13,64.25,20.04,4.43,88.72
17-Feb-13,76.33,22.52,4.64,103.49
24-Feb-13,68.11,14.51,1.41,84.03
03-Mar-13,70.04,22.14,4.96,97.14
10-Mar-13,39.01,20.42,4.7,64.13
17-Mar-13,64.24,20.62,4.97,89.83
24-Mar-13,56.55,21,4.52,82.07
31-Mar-13,59.99,20.04,5.17,85.2
07-Apr-13,49.51,22.52,5.65,77.68
14-Apr-13,30.85,23.1,5.1,59.05
21-Apr-13,14.68,18.71,4.84,38.23
28-Apr-13,15.17,18.52,5.14,38.83
05-May-13,13.59,18.32,4.83,36.74
12-May-13,11.21,16.03,4.87,32.11
19-May-13,20.7,19.47,4.68,44.85
26-May-13,23,20.23,6.3,49.53
02-Jun-13,13.35,16.03,4.97,34.35
09-Jun-13,8.04,14.51,5.07,27.62
16-Jun-13,7.62,15.08,5.46,28.16
23-Jun-13,7.54,15.27,5.37,28.18
30-Jun-13,10.13,15.84,4.7,30.67
07-Jul-13,6.06,12.98,3.6,22.64
14-Jul-13,2.4,9.16,0.43,11.99
21-Jul-13,2.39,9.16,0.43,11.98
28-Jul-13,5.19,13.93,6.03,25.15
04-Aug-13,6.08,11.26,5.19,22.53
11-Aug-13,5.56,13.36,4.01,22.93
18-Aug-13,6.24,15.08,4.43,25.75
25-Aug-13,4.88,12.41,4.31,21.6
01-Sep-13,5.07,14.13,4.65,23.85
08-Sep-13,5.89,13.55,5.07,24.51
15-Sep-13,7.11,14.89,4.51,26.51
22-Sep-13,15.24,18.9,5.47,39.61
29-Sep-13,10.83,17.18,4.59,32.6
06-Oct-13,10.78,16.22,4.83,31.83
13-Oct-13,20.14,18.71,5.62,44.47
20-Oct-13,23.6,19.28,4.66,47.54
27-Oct-13,12.79,20.42,5.41,38.62
03-Nov-13,26.89,25.39,7.09,59.37
10-Nov-13,35.21,21,5.49,61.7
17-Nov-13,45.59,22.14,5.75,73.48
24-Nov-13,56.92,21,4.97,82.89
01-Dec-13,49.04,20.81,5.34,75.19
08-Dec-13,61.28,21.38,5.57,88.23
15-Dec-13,63.41,22.71,6.24,92.36
22-Dec-13,52.22,18.32,5.16,75.7
29-Dec-13,54.79,17.56,4.47,76.82
05-Jan-14,52.5,18.9,4.42,75.82
12-Jan-14,49.68,17.37,3.96,71.01
19-Jan-14,54.49,18.13,4.51,77.13
26-Jan-14,57.75,20.04,6.49,84.28
02-Feb-14,60.99,19.47,4.93,85.39
09-Feb-14,55.27,18.52,4.72,78.51
16-Feb-14,53.5,17.37,4.18,75.05
23-Feb-14,44.66,19.47,9.22,73.35
02-Mar-14,42.2,20.42,5.13,67.75
09-Mar-14,43.83,18.13,5.93,67.89
16-Mar-14,20.81,16.42,4.55,41.78
23-Mar-14,24.5,17.18,5.54,47.22
30-Mar-14,21.41,16.8,4.78,42.99
06-Apr-14,17.42,17.56,4.84,39.82
13-Apr-14,11.88,12.6,1.6,26.08
13-Apr-14,14.09,16.22,4.19,34.5
27-Apr-14,9.49,12.79,5.6,27.88
04-May-14,11.79,16.8,5.08,33.67
11-May-14,12.7,16.99,6.5,36.19
18-May-14,15.17,14.13,5.09,34.39
25-May-14,5.87,14.89,5.33,26.09
01-Jun-14,5.92,12.41,4,22.33
08-Jun-14,7.55,15.08,4.84,27.47
15-Jun-14,4.82,13.74,4.61,23.17
